occ,pre_share,post_share,pp_change,log_ratio,title,n_pre,n_post
7640,9.883298989918755,9.869996112284039,-0.013302877634716381,-0.00134690233472456,"Other installation, maintenance, and repair workers",1187,2211
7700,3.849545106694002,3.898929461061614,0.049384354367612016,0.012747031077177251,First-line supervisors of production and operating workers,5449,8955
7750,11.151282111466736,11.572476693955016,0.4211945824882797,0.03707510113402605,Other assemblers and fabricators,6090,9496
7800,13.103874760142284,17.011722109568723,3.9078473494264383,0.2609946726037342,Bakers,1214,2369
7810,11.43052467756557,12.431749357334771,1.0012246797692015,0.08396625203028135,"Butchers and other meat, poultry, and fish processing workers",1686,2794
7855,6.964512843308138,10.073204325623442,3.1086914823153036,0.3690511999855867,"Food processing workers, all other",975,1511
8030,9.2546156864314,6.957646330291523,-2.2969693561398774,-0.2852811739778647,Machinists,2088,3395
8140,12.826482965954469,11.417526916307136,-1.4089560496473332,-0.11636239171083929,"Welding, soldering, and brazing workers",3684,6452
8225,7.781609979719146,9.249273005943786,1.4676630262246402,0.1727816994348713,8225,2218,3400
8255,6.703279065092251,7.724167484640078,1.020888419547827,0.14175722862376305,Printing press operators,808,1363
8740,9.836320462955547,10.30354322494464,0.4672227619890936,0.04640613406123865,"Inspectors, testers, sorters, samplers, and weighers",5184,8015
8800,10.034916785138783,12.996707008994242,2.961790223855459,0.25862532862204085,Packaging and filling machine operators and tenders,1715,2614
8810,7.201259428766274,12.482546087114086,5.2812866583478115,0.5500754241367746,Painting workers,1040,1665
8990,8.665702925421542,10.428471904402567,1.7627689789810255,0.18516670637689336,"Miscellaneous production workers, including equipment operators and tenders",7509,13297
9005,6.220175128596625,6.288569424616565,0.06839429601993974,0.010935546299145544,Supervisors of transportation and material moving workers,2173,3589
9030,5.114422679097532,6.155985588154318,1.0415629090567862,0.18536035004648838,Aircraft pilots and flight engineers,1219,2490
9121,2.041016652788881,2.293550432246537,0.25253377945765587,0.11665298109380166,"Bus drivers, school",1557,1953
9122,1.6658816626345538,2.6108958420553163,0.9450141794207625,0.44933888655682597,"Bus drivers, transit and intercity",1263,2429
9130,7.034523568635502,6.066243738207837,-0.9682798304276652,-0.148090375762271,Driver/sales workers and truck drivers,22000,37460
9142,4.7285663660742205,4.185406073388383,-0.5431602926858377,-0.12201833279589135,Taxi drivers,1960,4532
9150,7.437149250407094,5.756898688625507,-1.6802505617815866,-0.25608870255763244,"Motor vehicle operators, all other",906,1470
9600,9.923045948950055,11.066431673864594,1.1433857249145394,0.10905642726791277,Industrial truck and tractor operators,3737,5928
9610,15.516289118614731,15.454196393925676,-0.062092724689055245,-0.004009805261888999,Cleaners of vehicles and equipment,1588,2892
9620,16.01694678692929,15.862009254035852,-0.15493753289343637,-0.009720440823548213,"Laborers and freight, stock, and material movers, hand",11693,19864
9640,19.136755656317014,17.153577712518263,-1.9831779437987507,-0.10940410088738897,"Packers and packagers, hand",3383,5268
9645,19.247657906854474,19.318081459414874,0.07042355256039912,0.003652134355202065,Stockers and order fillers,8266,14287
